                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   train/ir_prompt_loss, train/rgb_spatial_loss,  train/rgb_global_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,     val/ir_prompt_loss,   val/rgb_spatial_loss,    val/rgb_global_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,       p2/P3_ir_bg_mean,     p2/P3_ir_fg_bg_gap,       p2/P3_ir_fg_mean,   p2/P3_ir_prompt_mean,    p2/P3_ir_prompt_std,       p2/P4_ir_bg_mean,     p2/P4_ir_fg_bg_gap,       p2/P4_ir_fg_mean,   p2/P4_ir_prompt_mean,    p2/P4_ir_prompt_std,p2/prompt_warmup_factor
                     49,                0.67578,                0.43339,                 1.3622,                0.02963,                      0,                      0,                0.83017,                0.83318,                0.86325,                0.71684,                0.65986,                0.40584,                 1.4517,                0.02792,                      0,                      0,               0.005248,               0.005248,               0.005248,               0.040026,                0.44502,                0.48504,               0.053553,                0.14328,                0.02896,                0.50673,                0.53569,                0.04442,                0.14579,                      1
                     50,                0.67053,                0.42934,                  1.363,                 0.0298,                      0,                      0,                0.82615,                0.83623,                  0.863,                0.71708,                0.65998,                0.40597,                 1.4529,                 0.0279,                      0,                      0,               0.005149,               0.005149,               0.005149,               0.040071,                 0.4452,                0.48527,               0.053833,                 0.1441,                 0.0289,                0.50367,                0.53257,               0.044554,                0.14601,                      1
                     51,                0.67548,                0.43404,                 1.3656,                0.02973,                      0,                      0,                 0.8317,                0.83935,                0.86406,                0.71857,                0.65993,                0.40583,                 1.4524,                0.02788,                      0,                      0,                0.00505,                0.00505,                0.00505,               0.040644,                0.44403,                0.48468,               0.054279,                0.14412,                0.02906,                  0.504,                0.53306,               0.044616,                0.14569,                      1
                     52,                0.67025,                0.42839,                 1.3709,                0.02947,                      0,                      0,                0.82982,                0.84191,                0.86496,                0.71888,                0.65969,                0.40515,                 1.4536,                0.02785,                      0,                      0,               0.004951,               0.004951,               0.004951,               0.039401,                0.44519,                0.48459,               0.052852,                0.14231,               0.028659,                 0.5063,                0.53496,               0.044033,                0.14543,                      1
                     53,                0.66694,                 0.4247,                 1.3681,                0.02949,                      0,                      0,                 0.8265,                0.84397,                0.86518,                0.71882,                0.65984,                 0.4046,                 1.4537,                0.02783,                      0,                      0,               0.004852,               0.004852,               0.004852,               0.039697,                0.44832,                0.48802,               0.053303,                 0.1438,               0.028915,                0.50795,                0.53686,               0.044416,                0.14571,                      1
                     54,                0.66529,                0.42407,                 1.3686,                0.02938,                      0,                      0,                0.82814,                0.84178,                0.86525,                0.71907,                 0.6594,                0.40429,                 1.4535,                0.02781,                      0,                      0,               0.004753,               0.004753,               0.004753,               0.039636,                0.44879,                0.48843,               0.053253,                0.14361,               0.028612,                 0.5102,                0.53881,               0.044178,                 0.1462,                      1
                     55,                0.66766,                0.42153,                 1.3614,                0.02944,                      0,                      0,                0.83599,                0.83556,                0.86615,                0.72044,                0.65913,                0.40402,                  1.454,                 0.0278,                      0,                      0,               0.004654,               0.004654,               0.004654,               0.039866,                0.44987,                0.48974,               0.053575,                 0.1443,               0.028712,                0.51062,                0.53933,               0.044349,                0.14639,                      1
                     56,                0.66334,                0.42189,                 1.3639,                0.02956,                      0,                      0,                0.84234,                 0.8338,                0.86666,                  0.721,                0.65882,                0.40312,                 1.4557,                0.02778,                      0,                      0,               0.004555,               0.004555,               0.004555,               0.039539,                0.44799,                0.48752,               0.053333,                0.14412,                0.02873,                0.50647,                0.53521,               0.044393,                0.14605,                      1
                     57,                0.66018,                0.41678,                 1.3585,                0.02946,                      0,                      0,                0.84503,                0.83232,                0.86666,                0.72092,                0.65859,                0.40298,                 1.4556,                0.02777,                      0,                      0,               0.004456,               0.004456,               0.004456,               0.039692,                0.45031,                0.49001,               0.053571,                0.14468,               0.028735,                0.51011,                0.53884,               0.044516,                0.14651,                      1
                     58,                0.66647,                 0.4195,                 1.3554,                0.02938,                      0,                      0,                0.84562,                0.83195,                0.86648,                0.72087,                0.65824,                0.40241,                 1.4561,                0.02775,                      0,                      0,               0.004357,               0.004357,               0.004357,               0.039666,                0.44811,                0.48778,               0.053294,                0.14378,               0.029162,                 0.5093,                0.53846,               0.044729,                0.14638,                      1
