                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   train/ir_prompt_loss,  train/rgb_prompt_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,     val/ir_prompt_loss,    val/rgb_prompt_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,       p2/P3_ir_bg_mean,     p2/P3_ir_fg_bg_gap,       p2/P3_ir_fg_mean,   p2/P3_ir_prompt_mean,    p2/P3_ir_prompt_std,       p2/P4_ir_bg_mean,     p2/P4_ir_fg_bg_gap,       p2/P4_ir_fg_mean,   p2/P4_ir_prompt_mean,    p2/P4_ir_prompt_std,p2/prompt_warmup_factor
                     59,                0.65467,                0.41313,                 1.3683,                0.02932,                      0,                0.83549,                0.82725,                0.86664,                0.72834,                  0.647,                0.39695,                 1.4561,                0.02758,                      0,               0.004258,               0.004258,               0.004258,               0.038682,                0.44763,                0.48631,                0.05226,                 0.1428,                0.02796,                0.51113,                0.53909,               0.043542,                0.14568,                      1
                     60,                 0.6539,                0.41343,                 1.3537,                0.02932,                      0,                0.83553,                0.82708,                0.86596,                0.72779,                0.64686,                0.39668,                 1.4561,                0.02757,                      0,               0.004159,               0.004159,               0.004159,               0.038999,                0.45009,                0.48909,               0.052838,                0.14375,               0.028014,                0.51055,                0.53856,               0.043797,                0.14621,                      1
                     61,                0.64775,                0.40782,                 1.3535,                0.02918,                      0,                0.83373,                0.83154,                0.86618,                0.72791,                0.64671,                0.39651,                 1.4558,                0.02755,                      0,                0.00406,                0.00406,                0.00406,               0.038707,                0.45281,                0.49152,               0.052574,                0.14384,               0.027785,                0.51436,                0.54215,               0.043629,                0.14643,                      1
                     62,                0.64489,                0.40581,                  1.358,                0.02919,                      0,                 0.8357,                0.82819,                0.86578,                0.72775,                0.64665,                0.39657,                 1.4557,                0.02754,                      0,               0.003961,               0.003961,               0.003961,               0.038495,                0.45062,                0.48911,               0.052285,                0.14348,               0.027821,                0.51358,                 0.5414,               0.043619,                0.14639,                      1
                     63,                0.64752,                0.40706,                 1.3603,                 0.0292,                      0,                0.83719,                0.82505,                0.86584,                0.72816,                0.64639,                0.39647,                 1.4558,                0.02753,                      0,               0.003862,               0.003862,               0.003862,               0.038455,                0.45092,                0.48937,               0.052097,                0.14308,                0.02788,                0.51356,                0.54144,               0.043499,                0.14582,                      1
                     64,                0.64734,                 0.4085,                 1.3559,                 0.0289,                      0,                0.83772,                0.82274,                0.86577,                0.72771,                 0.6462,                0.39664,                 1.4558,                0.02752,                      0,               0.003763,               0.003763,               0.003763,               0.038056,                0.45242,                0.49047,               0.051521,                0.14243,               0.027411,                0.51536,                0.54277,               0.042821,                0.14498,                      1
                     65,                0.64126,                0.40141,                 1.3544,                0.02923,                      0,                0.84084,                0.82342,                 0.8665,                0.72858,                 0.6462,                0.39649,                 1.4558,                0.02751,                      0,               0.003664,               0.003664,               0.003664,               0.038436,                0.45452,                0.49296,               0.052501,                0.14463,               0.027781,                 0.5133,                0.54108,               0.043746,                0.14657,                      1
                     66,                0.63992,                0.40058,                 1.3573,                0.02905,                      0,                0.84223,                0.82198,                0.86625,                0.72858,                0.64617,                0.39638,                 1.4564,                 0.0275,                      0,               0.003565,               0.003565,               0.003565,               0.037685,                0.45195,                0.48963,               0.051434,                0.14272,                0.02736,                 0.5149,                0.54226,               0.043106,                0.14585,                      1
                     67,                0.64531,                0.40103,                  1.348,                0.02921,                      0,                0.84124,                0.82285,                0.86613,                 0.7284,                0.64606,                 0.3963,                 1.4566,                0.02749,                      0,               0.003466,               0.003466,               0.003466,               0.037879,                0.44991,                0.48779,               0.051617,                0.14335,               0.027428,                0.51054,                0.53797,               0.043096,                0.14556,                      1
                     68,                0.63726,                0.39503,                 1.3573,                0.02894,                      0,                0.83911,                0.82349,                0.86571,                0.72778,                0.64611,                0.39648,                  1.457,                0.02748,                      0,               0.003367,               0.003367,               0.003367,               0.038357,                0.45599,                0.49435,               0.052256,                0.14416,               0.027543,                0.51681,                0.54435,               0.043383,                0.14626,                      1
