                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,    train/saliency_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,      val/saliency_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     74,                0.63367,                0.39121,                 1.3481,                0.02992,                0.83677,                0.84299,                0.86978,                0.73008,                 0.6475,                0.39762,                 1.4586,                0.03446,               0.002773,               0.002773,               0.002773
                     75,                0.63297,                0.38976,                 1.3478,                0.02998,                0.83731,                0.84316,                0.86921,                0.72937,                 0.6474,                0.39755,                 1.4589,                0.03445,               0.002674,               0.002674,               0.002674
                     76,                0.63165,                0.38828,                 1.3439,                0.02979,                0.83787,                 0.8436,                0.86893,                0.72941,                 0.6473,                0.39755,                  1.459,                0.03443,               0.002575,               0.002575,               0.002575
                     77,                0.63083,                0.38765,                 1.3398,                0.02984,                0.83791,                0.84333,                0.86903,                0.72945,                0.64732,                0.39748,                 1.4588,                0.03442,               0.002476,               0.002476,               0.002476
                     78,                0.63005,                0.38564,                 1.3417,                0.02979,                0.83708,                0.84378,                0.86902,                0.72945,                0.64715,                0.39738,                 1.4589,                 0.0344,               0.002377,               0.002377,               0.002377
                     79,                0.63106,                0.38593,                 1.3479,                0.02973,                0.83627,                 0.8443,                0.86924,                0.72994,                0.64707,                0.39737,                 1.4593,                0.03438,               0.002278,               0.002278,               0.002278
                     80,                0.62578,                0.38332,                  1.342,                 0.0295,                0.83703,                0.84347,                 0.8693,                 0.7298,                  0.647,                0.39758,                 1.4593,                0.03436,               0.002179,               0.002179,               0.002179
                     81,                0.62465,                0.37995,                 1.3475,                0.02943,                0.83598,                 0.8442,                0.86913,                0.72958,                0.64706,                 0.3976,                 1.4594,                0.03433,                0.00208,                0.00208,                0.00208
                     82,                0.62741,                0.38125,                 1.3372,                0.02961,                0.83743,                0.84188,                0.86891,                0.72967,                0.64704,                0.39771,                 1.4596,                0.03432,               0.001981,               0.001981,               0.001981
                     83,                0.62025,                0.37455,                 1.3399,                  0.029,                0.83777,                0.83912,                0.86876,                0.72978,                0.64699,                0.39789,                 1.4598,                 0.0343,               0.001882,               0.001882,               0.001882
                     84,                0.62228,                0.37804,                 1.3433,                0.02954,                0.83851,                0.83891,                 0.8688,                 0.7299,                0.64699,                0.39811,                 1.4601,                0.03428,               0.001783,               0.001783,               0.001783
                     85,                0.62346,                0.37634,                 1.3398,                0.02953,                0.83976,                0.83793,                0.86852,                 0.7302,                  0.647,                0.39847,                 1.4602,                0.03426,               0.001684,               0.001684,               0.001684
                     86,                0.61849,                0.37386,                 1.3411,                0.02893,                0.83904,                0.83739,                0.86847,                0.72981,                 0.6469,                0.39854,                 1.4604,                0.03424,               0.001585,               0.001585,               0.001585
                     87,                0.61614,                0.37069,                 1.3317,                  0.029,                0.83858,                 0.8372,                0.86827,                0.72978,                0.64687,                0.39866,                 1.4604,                0.03422,               0.001486,               0.001486,               0.001486
                     88,                0.61629,                0.37183,                 1.3419,                0.02935,                0.83781,                0.83834,                0.86826,                0.72999,                0.64687,                0.39856,                 1.4606,                0.03421,               0.001387,               0.001387,               0.001387
                     89,                0.61416,                0.36812,                 1.3398,                 0.0289,                 0.8372,                0.83795,                 0.8679,                0.72945,                0.64692,                0.39875,                 1.4607,                 0.0342,               0.001288,               0.001288,               0.001288
                     90,                0.61067,                0.36764,                 1.3315,                0.02883,                0.83717,                0.83751,                0.86777,                0.72967,                0.64694,                0.39897,                 1.4608,                0.03419,               0.001189,               0.001189,               0.001189
                     91,                0.61115,                0.36563,                 1.3254,                0.02858,                0.83742,                0.83613,                 0.8675,                0.72951,                0.64688,                0.39908,                 1.4608,                0.03418,                0.00109,                0.00109,                0.00109
                     92,                0.60946,                0.36152,                 1.3328,                0.02854,                0.84299,                0.83249,                0.86723,                0.72909,                0.64684,                0.39928,                 1.4611,                0.03417,               0.000991,               0.000991,               0.000991
                     93,                0.60694,                0.35972,                 1.3328,                0.02867,                0.84307,                0.83197,                0.86717,                0.72911,                0.64684,                0.39924,                 1.4613,                0.03415,               0.000892,               0.000892,               0.000892
                     94,                 0.6071,                0.36121,                 1.3302,                0.02846,                0.84121,                0.83255,                0.86685,                0.72882,                0.64685,                 0.3993,                 1.4616,                0.03414,               0.000793,               0.000793,               0.000793
                     95,                0.60541,                 0.3613,                 1.3296,                0.02839,                0.83941,                0.83245,                 0.8666,                0.72853,                 0.6468,                0.39924,                 1.4621,                0.03413,               0.000694,               0.000694,               0.000694
                     96,                0.60267,                0.35631,                  1.327,                0.02861,                0.83979,                0.83157,                0.86606,                0.72853,                0.64683,                0.39937,                 1.4626,                0.03411,               0.000595,               0.000595,               0.000595
                     97,                0.59959,                0.35514,                 1.3234,                0.02814,                0.84031,                 0.8306,                0.86566,                0.72819,                0.64686,                0.39946,                 1.4631,                 0.0341,               0.000496,               0.000496,               0.000496
                     98,                0.60163,                0.35452,                 1.3358,                0.02852,                 0.8368,                0.83257,                0.86534,                 0.7277,                0.64694,                0.39955,                 1.4635,                0.03408,               0.000397,               0.000397,               0.000397
                     99,                0.60011,                0.35376,                 1.3269,                0.02858,                 0.8407,                0.82885,                0.86499,                0.72738,                0.64694,                0.39965,                 1.4638,                0.03407,               0.000298,               0.000298,               0.000298
                    100,                0.59956,                0.35378,                 1.3244,                0.02859,                0.84034,                0.82893,                0.86462,                 0.7272,                0.64701,                0.39995,                 1.4643,                0.03405,               0.000199,               0.000199,               0.000199
