                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   train/ir_prompt_loss, train/rgb_spatial_loss,  train/rgb_global_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,     val/ir_prompt_loss,   val/rgb_spatial_loss,    val/rgb_global_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,       p2/P3_ir_bg_mean,     p2/P3_ir_fg_bg_gap,       p2/P3_ir_fg_mean,   p2/P3_ir_prompt_mean,    p2/P3_ir_prompt_std,       p2/P4_ir_bg_mean,     p2/P4_ir_fg_bg_gap,       p2/P4_ir_fg_mean,   p2/P4_ir_prompt_mean,    p2/P4_ir_prompt_std,p2/prompt_warmup_factor
                     48,                0.66851,                0.43322,                 1.3669,                 0.0299,                      0,                      0,                0.83833,                0.82612,                0.86812,                0.72923,                0.64895,                0.39993,                 1.4502,                0.02806,                      0,                      0,               0.005347,               0.005347,               0.005347,               0.040083,                0.44557,                0.48566,               0.053677,                0.14359,               0.030651,                0.49808,                0.52873,               0.045935,                 0.1462,                      1
                     49,                0.66542,                0.42964,                 1.3567,                0.02977,                      0,                      0,                0.83689,                0.82545,                0.86862,                0.72843,                 0.6489,                0.39969,                 1.4489,                0.02803,                      0,                      0,               0.005248,               0.005248,               0.005248,               0.039606,                0.44713,                0.48674,               0.053198,                0.14332,                0.03065,                 0.5016,                0.53225,               0.045971,                0.14643,                      1
                     50,                0.65951,                0.42469,                  1.361,                0.02989,                      0,                      0,                0.83428,                0.82196,                0.86577,                0.72606,                 0.6487,                0.40038,                 1.4505,                0.02799,                      0,                      0,               0.005149,               0.005149,               0.005149,               0.039739,                0.44766,                 0.4874,               0.053582,                0.14423,                0.03028,                0.50017,                0.53045,               0.045836,                0.14673,                      1
                     51,                0.66389,                0.42803,                 1.3626,                0.02978,                      0,                      0,                 0.8286,                0.82296,                0.86482,                0.72517,                 0.6481,                0.40042,                 1.4511,                0.02796,                      0,                      0,                0.00505,                0.00505,                0.00505,               0.039787,                 0.4467,                0.48649,               0.053505,                0.14402,               0.030057,                 0.4996,                0.52965,               0.045487,                0.14613,                      1
                     52,                0.65912,                0.42292,                  1.366,                0.02953,                      0,                      0,                0.82123,                0.82969,                0.86375,                0.72506,                0.64832,                0.40091,                 1.4512,                0.02793,                      0,                      0,               0.004951,               0.004951,               0.004951,               0.038864,                0.44888,                0.48774,                0.05243,                0.14295,               0.029611,                0.50183,                0.53145,               0.044857,                0.14547,                      1
                     53,                 0.6564,                0.42004,                 1.3627,                0.02956,                      0,                      0,                0.82368,                0.82568,                0.86351,                 0.7248,                0.64836,                0.40089,                 1.4517,                 0.0279,                      0,                      0,               0.004852,               0.004852,               0.004852,               0.039028,                0.45063,                0.48966,               0.052703,                0.14351,               0.029491,                0.50506,                0.53455,                0.04491,                0.14619,                      1
                     54,                0.65529,                0.41945,                 1.3646,                0.02946,                      0,                      0,                0.82269,                0.83005,                0.86472,                  0.726,                0.64866,                0.40083,                  1.452,                0.02788,                      0,                      0,               0.004753,               0.004753,               0.004753,               0.039468,                0.45156,                0.49103,               0.053176,                0.14404,               0.029606,                0.50593,                0.53554,               0.045052,                0.14641,                      1
                     55,                0.65726,                0.41786,                 1.3542,                0.02952,                      0,                      0,                0.82578,                0.82566,                0.86496,                0.72611,                0.64854,                0.40082,                 1.4512,                0.02785,                      0,                      0,               0.004654,               0.004654,               0.004654,               0.039482,                0.45229,                0.49177,               0.053267,                0.14425,               0.029452,                0.50611,                0.53556,               0.044974,                0.14643,                      1
                     56,                0.65231,                0.41696,                 1.3562,                0.02961,                      0,                      0,                0.82596,                0.82736,                0.86546,                0.72637,                0.64814,                0.40036,                 1.4508,                0.02783,                      0,                      0,               0.004555,               0.004555,               0.004555,               0.039253,                0.45058,                0.48984,               0.053117,                0.14388,                0.02949,                 0.5035,                0.53299,               0.045073,                0.14618,                      1
                     57,                0.64888,                0.41112,                 1.3561,                0.02949,                      0,                      0,                0.83071,                0.82053,                0.86509,                0.72645,                0.64789,                0.40003,                 1.4517,                0.02781,                      0,                      0,               0.004456,               0.004456,               0.004456,               0.039233,                 0.4542,                0.49344,               0.053234,                0.14513,               0.029304,                0.50695,                0.53626,               0.045003,                0.14668,                      1
                     58,                0.65624,                0.41539,                 1.3508,                0.02942,                      0,                      0,                0.83068,                  0.821,                0.86523,                0.72693,                0.64755,                0.39981,                 1.4518,                0.02779,                      0,                      0,               0.004357,               0.004357,               0.004357,               0.039542,                0.45078,                0.49033,               0.053257,                0.14416,               0.029326,                0.50651,                0.53584,               0.044819,                 0.1463,                      1
                     59,                0.65455,                0.41329,                 1.3673,                0.02948,                      0,                      0,                0.82816,                0.82411,                0.86464,                0.72643,                0.64757,                0.39977,                 1.4531,                0.02777,                      0,                      0,               0.004258,               0.004258,               0.004258,               0.038629,                 0.4489,                0.48753,                0.05224,                0.14321,               0.028917,                0.50658,                0.53549,               0.044361,                0.14584,                      1
                     60,                0.65356,                0.41203,                 1.3557,                0.02948,                      0,                      0,                0.82851,                 0.8232,                0.86413,                0.72586,                0.64745,                 0.3997,                 1.4536,                0.02775,                      0,                      0,               0.004159,               0.004159,               0.004159,               0.038758,                0.45117,                0.48993,               0.052634,                0.14425,               0.029125,                0.50553,                0.53465,               0.044748,                0.14624,                      1
                     61,                0.64768,                0.40628,                 1.3527,                0.02934,                      0,                      0,                0.82803,                0.82343,                 0.8639,                0.72554,                0.64717,                0.39994,                 1.4532,                0.02773,                      0,                      0,                0.00406,                0.00406,                0.00406,               0.038832,                0.45303,                0.49186,                0.05271,                0.14396,               0.028792,                0.50811,                 0.5369,               0.044446,                0.14637,                      1
                     62,                0.64506,                0.40545,                 1.3588,                0.02935,                      0,                      0,                0.83133,                0.82113,                0.86311,                0.72498,                0.64714,                    0.4,                 1.4537,                0.02771,                      0,                      0,               0.003961,               0.003961,               0.003961,               0.038256,                0.45258,                0.49084,               0.052101,                0.14387,                0.02861,                0.50884,                0.53745,               0.044258,                0.14649,                      1
                     63,                0.64807,                0.40685,                  1.358,                0.02932,                      0,                      0,                 0.8318,                0.81961,                0.86306,                0.72526,                 0.6469,                0.39987,                 1.4537,                0.02769,                      0,                      0,               0.003862,               0.003862,               0.003862,               0.038226,                0.45323,                0.49146,               0.051935,                0.14357,                0.02839,                0.50845,                0.53684,               0.043848,                0.14546,                      1
                     64,                0.64819,                0.40842,                 1.3537,                0.02905,                      0,                      0,                0.82933,                0.82175,                0.86284,                0.72548,                0.64674,                 0.3998,                 1.4531,                0.02768,                      0,                      0,               0.003763,               0.003763,               0.003763,               0.037955,                0.45455,                 0.4925,               0.051474,                0.14285,               0.028424,                0.50916,                0.53758,                0.04365,                0.14484,                      1
                     65,                0.64069,                 0.4017,                 1.3518,                0.02936,                      0,                      0,                0.83093,                0.82172,                  0.863,                0.72575,                0.64666,                0.39963,                 1.4533,                0.02767,                      0,                      0,               0.003664,               0.003664,               0.003664,               0.038589,                  0.455,                0.49359,               0.052671,                0.14482,               0.028431,                0.50743,                0.53586,               0.044218,                0.14626,                      1
